Movie_id,Name,Year,Time,Genre,Rating,Score,Description,Directors_cast,Stars,Votes,Total
24,Everything Everywhere All at Once,2022,139.0,Action  Adventure  Comedy,8.0,,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Daniel Kwan, Daniel Scheinert","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan","344,464",$72.86M
25,All Quiet on the Western Front,2022,148.0,Action  Drama  War,7.8,,A young German soldiers terrifying experiences and distress on the western front during World War I.,Edward Berger,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus","156,334",
26,Infinity Pool,2023,117.0,Crime  Horror  Mystery,6.1,,James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa when a fatal accident exposes the resorts perverse subculture of hedonistic tourism reckless violence and surreal horrors.,Brandon Cronenberg,"Alexander Skarsgård, Mia Goth, Cleopatra Coleman, Dunja Sepcic","16,929",
27,Breaking Bad,2008–2013,49.0,Crime  Drama  Thriller,9.5,,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his familys future.,,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt","1,933,669",
28,Your Place or Mine,2023,109.0,Comedy  Romance,5.6,49.0,Two long-distance best friends change each others lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.,Aline Brosh McKenna,"Reese Witherspoon, Ashton Kutcher, Zoe Chao, Jesse Williams","24,880",
29,The Company You Keep,2023– ,44.0,Crime  Drama,7.3,,It tells the story of con-man Charlie and undercover CIA officer Emma. A night of passion ignites love between the pair who are on a collision course professionally.,,"Milo Ventimiglia, Catherine Haena Kim, Sarah Wayne Callies, Polly Draper","1,079",
30,South Park,1997– ,22.0,Animation  Comedy,8.7,,Follows the misadventures of four irreverent grade-schoolers in the quiet dysfunctional town of South Park Colorado.,,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall","377,402",
31,The Menu,2022,107.0,Horror  Thriller,7.2,,A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu with some shocking surprises.,Mark Mylod,"Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult, Hong Chau","253,617",
32,The Mandalorian,2019– ,40.0,Action  Adventure  Fantasy,8.7,,The travels of a lone bounty hunter in the outer reaches of the galaxy far from the authority of the New Republic.,,"Pedro Pascal, Carl Weathers, Chris Bartlett, Barry Lowin","504,149",
33,Red Rose,2022– ,45.0,Drama  Horror  Thriller,6.4,,A group of teenage friends are infiltrated by the Red Rose app which flourishes on their smartphones and threatens them with dangerous consequences if they dont comply with its demands.,,"Amelia Clarkson, Natalie Blair, Ellis Howard, Ali Khan","3,857",
34,Wednesday,2022– ,45.0,Comedy  Crime  Fantasy,8.2,,Follows Wednesday Addams years as a student when she attempts to master her emerging psychic ability thwart a killing spree and solve the mystery that embroiled her parents.,,"Jenna Ortega, Hunter Doohan, Percy Hynes White, Emma Myers","284,611",
35,Puss in Boots: The Last Wish,2022,102.0,Animation  Adventure  Comedy,7.9,,When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives he launches an epic journey to restore them by finding the mythical Last Wish.,"Joel Crawford, Januel Mercado","Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh","89,450",$168.46M
36,M3gan,2022,102.0,Horror  Sci-Fi  Thriller,6.4,,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Gerard Johnstone,"Allison Williams, Violet McGraw, Ronny Chieng, Amie Donald","74,863",$93.88M
37,The Gold,2023– ,58.0,Crime  Drama  History,7.5,,Drama series inspired by true events surrounding the 1983 Brinks-Mat robbery and the remarkable story that followed.,,"Hugh Bonneville, Jack Lowden, Emun Elliott, Charlotte Spencer","2,190",
38,Grey's Anatomy,2005– ,41.0,Drama  Romance,7.6,,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,,"Chandra Wilson, James Pickens Jr., Ellen Pompeo, Justin Chambers","315,929",
39,Farzi,2023– ,56.0,Crime  Drama  Thriller,8.5,,An artist who gets pulled into the murky high stakes of a con job and a fiery task force officer on the mission to rid the country of his menaces in a fast-paced edgy one-of-a-kind thriller.,,"Shahid Kapoor, Vijay Sethupathi","19,948",
40,Your Honor, 2020–2023,57.0,Crime  Drama  Thriller,7.6,,A judge confronts his convictions when his son is involved in a hit-and-run that embroils an organized-crime family.,,"Bryan Cranston, Hope Davis, Isiah Whitlock Jr., Benjamin Flores Jr.","53,932",
41,Bullet Train,2022,127.0,Action  Comedy  Thriller,7.3,49.0,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,David Leitch,"Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry","308,090",$103.37M
42,The Fabelmans,2022,151.0,Drama,7.6,,Growing up in post-World War II era Arizona young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence but soon discovers a shattering family secret and explores how the power of films can help him see the truth.,Steven Spielberg,"Michelle Williams, Gabriel LaBelle, Paul Dano, Judd Hirsch","65,802",
43,The Woman King,2022,135.0,Action  Drama  History,6.8,,A historical epic inspired by true events that took place in The Kingdom of Dahomey one of the most powerful states of Africa in the 18th and 19th centuries.,Gina Prince-Bythewood,"Viola Davis, Thuso Mbedu, Lashana Lynch, Sheila Atim","53,367",
44,The Strays,2023,100.0,Drama  Thriller,4.7,54.0,A Black womans meticulously crafted life of privilege starts to unravel when two strangers show up in her quaint suburban town.,Nathaniel Martello-White,"Ashley Madekwe, Bukky Bakray, Jorden Myrie, Samuel Paul Small","5,503",
45,Tár,2022,158.0,Drama  Music,7.5,,Set in the international world of Western classical music the film centers on Lydia Tár widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra.,Todd Field,"Cate Blanchett, Noémie Merlant, Nina Hoss, Sophie Kauer","48,828",
46,Criminal Minds,2005– ,42.0,Crime  Drama  Mystery,8.1,,A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.,,"Kirsten Vangsness, Matthew Gray Gubler, A.J. Cook, Joe Mantegna","204,255",
47,Women Talking,2022,104.0,Drama,7.0,,Do nothing. Stay and fight. Or leave. In 2010 the women of an isolated religious community grapple with reconciling a brutal reality with their faith.,Sarah Polley,"Rooney Mara, Claire Foy, Jessie Buckley, Frances McDormand","12,446",
48,Triangle of Sadness,2022,147.0,Comedy  Drama,7.4,,A fashion model celebrity couple join an eventful cruise for the super-rich.,Ruben Östlund,"Harris Dickinson, Charlbi Dean, Dolly de Leon, Zlatko Buric","92,503",
49,Party Down,2009–2023,30.0,Comedy  Drama,8.2,,A group of actors move to Los Angeles to make it big but end up working as caterers.,,"Adam Scott, Ken Marino, Ryan Hansen, Martin Starr","33,279",
50,The Flash,2023,,Action  Adventure  Fantasy,,,Barry Allen uses his super speed to change the past but his attempt to save his family creates a world without super heroes forcing him to race for his life in order to save the future.,Andy Muschietti,"Sasha Calle, Michael Keaton, Ben Affleck, Michael Shannon",,
51,We Have a Ghost,2023,126.0,Adventure  Comedy  Family,6.1,53.0,Finding a ghost named Ernest haunting their new home turns Kevins family into overnight social media sensations. But when Kevin and Ernest investigate the mystery of Ernests past they become a target of the CIA.,Christopher Landon,"Jahi DiAllo Winston, David Harbour, Anthony Mackie, Erica Ash","11,585",
52,Law & Order: Special Victims Unit,1999– ,60.0,Crime  Drama  Mystery,8.1,,This series follows the Special Victims Unit a specially trained squad of detectives in the New York City Police Department that investigate sexually related crimes.,,"Mariska Hargitay, Christopher Meloni, Ice-T, Dann Florek","111,172",
53,Better Call Saul,2015–2022,46.0,Crime  Drama,8.9,,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,,"Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian","553,147",
54,Somebody I Used to Know,2023,106.0,Comedy  Romance,5.7,57.0,On a trip to her hometown workaholic Ally reminisces with her ex Sean and starts to question everything about the person shes become. Things only get more confusing when she meets Cassidy who reminds her of the person she used to be.,Dave Franco,"Alison Brie, Jay Ellis, Kiersey Clemons, Danny Pudi","4,471",
55,The Rookie,2018– ,43.0,Action  Crime  Drama,8.0,,Starting over isnt easy especially for John Nolan who after a life-altering incident is pursuing his dream of joining the LAPD. As their oldest rookie hes met with skepticism from those who see him as just a walking midlife crisis.,,"Richard T. Jones, Melissa ONeil, Nathan Fillion, Alyssa Diaz","44,289",
56,Happy Valley,2014–2023,58.0,Crime  Drama  Thriller,8.5,,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,,"Sarah Lancashire, Siobhan Finneran, James Norton, Rhys Connah","50,914",
57,White Noise, 2022,136.0,Comedy  Drama  Horror,5.7,,Dramatizes a contemporary American familys attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love death and the possibility of happiness in an uncertain world.,Noah Baumbach,"Adam Driver, Greta Gerwig, Don Cheadle, Madison Gaughan","34,905",
58,Mayor of Kingstown,2021– ,,Crime  Drama  Thriller,8.2,,The McLusky family are power brokers tackling themes of systemic racism corruption and inequality in Kingstown Michigan where the business of incarceration is the only thriving industry.,,"Jeremy Renner, Dianne Wiest, Hugh Dillon, Tobi Bamtefa","32,343",
59,Magnum P.I.,2018–2023,43.0,Action  Adventure  Crime,6.1,,An ex-Navy SEAL returns from Afghanistan and uses his military skills to become a private investigator in Hawaii.,,"Jay Hernandez, Perdita Weeks, Zachary Knighton, Stephen Hill","14,612",
60,Succession,2018–2023,60.0,Drama,8.8,,The Roy family is known for controlling the biggest media and entertainment company in the world. However their world changes when their father steps down from the company.,,"Nicholas Braun, Brian Cox, Kieran Culkin, Peter Friedman","159,688",
61,The Boys,2019– ,60.0,Action  Comedy  Crime,8.7,,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty","531,794",
62,The Law According to Lidia Poët,2023– ,42.0,Biography  Crime  Drama,7.5,,Forbidden from practicing law a woman prepares an appeal to overturn the courts decision in this true story of Lidia Poët Italys first female lawyer.,,"Matilda De Angelis, Eduardo Scarpetta, Pier Luigi Pasino, Sinéad Thornhill","3,078",
63,Stranger Things,2016–2024,51.0,Drama  Fantasy  Horror,8.7,,When a young boy disappears his mother a police chief and his friends must confront terrifying supernatural forces in order to get him back.,,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour","1,218,832",
64,Top Gun: Maverick,2022,130.0,Action  Drama,8.3,,After thirty years Maverick is still pushing the envelope as a top naval aviator but must confront ghosts of his past when he leads TOP GUNs elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer","539,062",$718.73M
65,John Wick: Chapter 4,2023,169.0,Action  Crime  Thriller,,,John Wick uncovers a path to defeating The High Table. But before he can earn his freedom Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.,Chad Stahelski,"Keanu Reeves, Donnie Yen, Bill Skarsgård, Laurence Fishburne",,
66,The Consultant,2023– ,33.0,Comedy  Drama  Thriller,6.6,,Follows a relationship between employee and boss asking how far we will go to get ahead and to survive.,,"Christoph Waltz, Nat Wolff, Brittany OGrady, Aimee Carrero","4,795",
67,Plane,2023,107.0,Action  Adventure  Thriller,6.5,,A pilot finds himself caught in a war zone after hes forced to land his commercial aircraft during a terrible storm.,Jean-François Richet,"Gerard Butler, Mike Colter, Tony Goldwyn, Yoson An","35,595",
68,The Little Mermaid,2023,,Adventure  Family  Fantasy,,,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,Rob Marshall,"Halle Bailey, Jonah Hauer-King, Melissa McCarthy, Javier Bardem",,
69,Aftersun, 2022,102.0,Drama,7.7,,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didnt...,Charlotte Wells,"Paul Mescal, Frankie Corio, Celia Rowlson-Hall, Sally Messham","43,940",
70,Creed III,2023,116.0,Drama  Sport,7.4,,Adonis has been thriving in both his career and family life but when a childhood friend and former boxing prodigy resurfaces the face-off is more than just a fight.,Michael B. Jordan,"Michael B. Jordan, Tessa Thompson, Jonathan Majors, Wood Harris","4,700",
71,The Office,2005–2013,22.0,Comedy,9.0,,A mockumentary on a group of typical office workers where the workday consists of ego clashes inappropriate behavior and tedium.,,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson","621,943",
72,Ted Lasso,2020– ,30.0,Comedy  Drama  Sport,8.8,,American college football coach Ted Lasso heads to London to manage AFC Richmond a struggling English Premier League football team.,,"Jason Sudeikis, Brett Goldstein, Brendan Hunt, Nick Mohammed","232,033",
73,Strike,2017– ,60.0,Crime  Drama  Mystery,7.9,,War veteran turned private detective Cormoran Strike solves brutal murders with the help of his trusted partner Robin Ellacott.,,"Tom Burke, Holliday Grainger, Kerr Logan, Jack Greenlees","19,611",
74,The Sopranos,1999–2007,55.0,Crime  Drama,9.2,,New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state leading him to seek professional psychiatric counseling.,,"James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli","412,258",
75,Hello Tomorrow!,2023– ,31.0,Comedy  Drama  Sci-Fi,6.3,,In a retro-futuristic world charismatic salesman Jack Billings leads a team of fellow sales associates determined to revitalize their customers lives by hawking timeshares on the moon.,,"Billy Crudup, Haneefah Wood, Alison Pill, Nicholas Podany","1,434",
76,Jesus Revolution,2023,120.0,Drama,7.7,46.0,The true story of a national spiritual awakening in the early 1970s and its origins within a community of teenage hippies in Southern California.,"Jon Erwin, Brent McCorkle","Joel Courtney, Jonathan Roumie, Kimberly Williams-Paisley, Anna Grace Barlow","2,255",
77,The Flash,2014–2023,43.0,Action  Adventure  Drama,7.5,,After being struck by lightning Barry Allen wakes up from his coma to discover hes been given the power of super speed becoming the Flash and fighting crime in Central City.,,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes","351,060",
78,Glass Onion: A Knives Out Mystery,2022,139.0,Comedy  Crime  Drama,7.2,,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,Rian Johnson,"Daniel Craig, Edward Norton, Kate Hudson, Dave Bautista","350,456",
79,Supernatural,2005–2020,44.0,Drama  Fantasy  Horror,8.4,,Two brothers follow their fathers footsteps as hunters fighting evil supernatural beings of many kinds including monsters demons and gods that roam the earth.,,"Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins","452,831",
80,Tulsa King,2022– ,40.0,Crime  Drama,8.1,,Following his release from prison Mafia capo Dwight The General Manfredi is exiled to Tulsa Oklahoma where he builds a new criminal empire with a group of unlikely characters.,,"Sylvester Stallone, Andrea Savage, Martin Starr, Jay Will","41,676",
81,NCIS: Naval Criminal Investigative Service,2003– ,60.0,Action  Crime  Drama,7.8,,The cases of the Naval Criminal Investigative Services Washington D.C. Major Case Response Team.,,"David McCallum, Mark Harmon, Sean Murray, Pauley Perrette","151,359",
82,You People,2023,117.0,Comedy  Romance,5.5,50.0,Follows a new couple and their families who find themselves examining modern love and family dynamics amidst clashing cultures societal expectations and generational differences.,Kenya Barris,"Jonah Hill, Lauren London, Eddie Murphy, Julia Louis-Dreyfus","49,665",
83,Death in Paradise,2011– ,60.0,Comedy  Crime  Drama,7.8,,A Detective Inspector is transferred from London to the Caribbean island of Saint-Marie to investigate and solve complex murders.,,"Elizabeth Bourgine, Don Warrington, Danny John-Jules, Tobi Bakare","23,137",
