Movie_id,Name,Year,Time,Genre,Rating,Score,Description,Directors_cast,Stars,Votes,Total
625,The Old Man,2022– ,61.0,Action  Drama  Thriller,7.6,,A retired CIA agent is hunted by both the agency he once worked for and his own nightmares when an unknown man suddenly visits him after nearly three decades.,,"Jeff Bridges, John Lithgow, E.J. Bonilla, Bill Heck","41,127",
626,See,2019–2022,60.0,Action  Drama  Sci-Fi,7.6,,Far in a dystopian future the human race has lost the sense of sight and society has had to find new ways to interact build hunt and to survive. All of that is challenged when a set of twins are born with sight.,,"Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo","87,883",
627,Sicario,2015,121.0,Action  Crime  Drama,7.6,,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal","439,429",$46.89M
628,Lincoln,2012,150.0,Biography  Drama  History,7.3,,As the American Civil War continues to rage Americas president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.,Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","263,833",$182.21M
629,Russian Doll,2019– ,30.0,Comedy  Drama  Mystery,7.8,,A cynical young woman in New York City keeps dying and returning to the party thats being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.,,"Natasha Lyonne, Charlie Barnett, Greta Lee, Elizabeth Ashley","98,597",
630,Green Book,2018,130.0,Biography  Comedy  Drama,8.2,,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco","505,158",$85.08M
631,Perry Mason,2020– ,60.0,Crime  Drama  History,7.5,,In booming 1932 Los Angeles a down-and-out defense attorney takes on the case of a lifetime.,,"Matthew Rhys, Shea Whigham, Eric Lange, Juliet Rylance","20,186",
632,Bandit,2022,126.0,Crime  Drama  Thriller,6.4,54.0,After escaping a Michigan prison a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a police task force. Based on the story of The Flying Bandit.,Allan Ungar,"Josh Duhamel, Elisha Cuthbert, Nestor Carbonell, Mel Gibson","7,073",
633,Lady Chatterley's Lover,2022,126.0,Drama  Romance,6.6,,An unhappily married aristocrat begins a torrid affair with the gamekeeper on her husbands country estate.,Laure de Clermont-Tonnerre,"Emma Corrin, Jack OConnell, Matthew Duckett, Joely Richardson","16,742",
634,East New York,2022– ,44.0,Crime  Drama,7.2,,Procedural following Deputy Inspector Regina Haywood and her diverse team in East New Yorks 74th Precinct.,,"Amanda Warren, Kevin Rankin, Richard Kind, Elizabeth Rodriguez","1,986",
635,Emily the Criminal,2022,97.0,Crime  Drama  Thriller,6.7,,Down on her luck and saddled with debt Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles ultimately leading to deadly consequences.,John Patton Ford,"Aubrey Plaza, Theo Rossi, Bernardo Badillo, John Billingsley","36,744",
636,See How They Run,2022,98.0,Comedy  Crime  Mystery,6.5,60.0,In the West End of 1950s London plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered.,Tom George,"Kieran Hodgson, Pearl Chanda, Gregory Cox, Harris Dickinson","50,396",
637,Hacksaw Ridge,2016,139.0,Biography  Drama  History,8.1,,World War II American Army Medic Desmond T. Doss who served during the Battle of Okinawa refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer","538,202",$67.21M
638,After Life,2019–2022,30.0,Comedy  Drama,8.4,,After Tonys wife dies his nice-guy persona is altered into an impulsive devil-may-care attitude that takes his old world by storm.,,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan","140,078",
639,The Notebook,2004,123.0,Drama  Romance,7.8,53.0,A poor yet passionate young man (Ryan Gosling) falls in love with a rich young woman (Rachel McAdams) giving her a sense of freedom but they are soon separated because of their social differences.,Nick Cassavetes,"Gena Rowlands, James Garner, Rachel McAdams, Ryan Gosling","581,748",$81.00M
640,Of an Age,2022,100.0,Drama  Romance,7.6,,Set in the summer of 1999 as an 17-year-old Serbian born Australian amateur ballroom dancer experiences an unexpected and intense 24-hour romance with a friends older brother.,Goran Stolevski,"Thom Green, Elias Anton, Hattie Hook, Matthew Page",491,
641,Gerald's Game,2017,103.0,Drama  Horror  Thriller,6.5,,A couple tries to spice up their marriage in a remote lake house. After the husband dies unexpectedly the wife is left handcuffed to their bed frame and must fight to survive and break free.,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Chiara Aurelia, Carel Struycken","114,297",
642,Battlestar Galactica,2004–2009,44.0,Action  Adventure  Drama,8.7,,When an old enemy the Cylons resurface and obliterate the 12 colonies the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony Earth.,,"Edward James Olmos, Mary McDonnell, Jamie Bamber, James Callis","168,204",
643,CODA,2021,111.0,Comedy  Drama  Music,8.0,,As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the familys fishing business is threatened Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.,Sian Heder,"Emilia Jones, Marlee Matlin, Troy Kotsur, Daniel Durant","140,075",
644,Walker,2021– ,42.0,Action  Crime  Drama,6.1,,A widowed father returns to Austin after one year attempting to reconnect with his children navigate clashes with his family and find common ground with his new partner while growing increasingly suspicious of his wifes death.,,"Jared Padalecki, Molly Hagan, Keegan Allen, Violet Brinson","12,878",
645,Agents of S.H.I.E.L.D.,2013–2020,45.0,Action  Adventure  Drama,7.5,,The missions of the Strategic Homeland Intervention Enforcement and Logistics Division.,,"Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker","219,244",
646,Deadpool 2,2018,119.0,Action  Adventure  Comedy,7.7,,Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal time-traveling cyborg Cable.,David Leitch,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison","593,799",$324.59M
647,Letterkenny,2016– ,30.0,Comedy,8.7,,Quick-witted fast-paced snappy comedy about rural folk getting by in a small town.,,"Jared Keeso, Nathan Dales, Michelle Mylett, K. Trevor Wilson","24,913",
648,"Good Luck to You, Leo Grande",2022,97.0,Comedy  Drama,7.2,,Nancy Stokes a retired school teacher is yearning for some adventure and some sex. And she has a plan which involves hiring a young sex worker named Leo Grande.,Sophie Hyde,"Emma Thompson, Daryl McCormack, Isabella Laughland, Les Mabaleka","26,239",
649,Stand by Me,1986,89.0,Adventure  Drama,8.1,,After the death of one of his friends a writer recounts a childhood journey with his friends to find the body of a missing boy.,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry OConnell","410,740",$52.29M
650,Zack Snyder's Justice League,2021,242.0,Action  Adventure  Fantasy,8.0,54.0,Determined to ensure that Supermans ultimate sacrifice wasnt in vain Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.,Zack Snyder,"Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams","405,297",
651,Captain Marvel,2019,123.0,Action  Adventure  Sci-Fi,6.8,,Carol Danvers becomes one of the universes most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,"Anna Boden, Ryan Fleck","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law","570,287",$426.83M
652,Unforgotten,2015– ,45.0,Crime  Drama  Mystery,8.3,,London detectives investigate crimes from the past unravelling secrets left buried for years.,,"Sanjeev Bhaskar, Jordan Long, Nicola Walker, Lewis Reeves","24,336",
653,Harlem,2021– ,30.0,Comedy,7.1,,A group of four friends follow their dreams after graduating from college together.,,"Meagan Good, Jerrie Johnson, Grace Byers, Shoniqua Shandai","4,228",
654,Almost Famous,2000,122.0,Adventure  Comedy  Drama,7.9,,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Cameron Crowe,"Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand","280,990",$32.53M
655,Pleasure,2021,109.0,Drama,6.4,,Bella Cherry arrives in Los Angeles with dreams of becoming an adult film star but she soon learns that fame wont come easy as she harnesses her ambition and cunning to rise to the top of this mesmerizing and singular world.,Ninja Thyberg,"Sofia Kappel, Zelda Morrison, Evelyn Claire, Chris Cock","18,412",
656,Pretty Little Liars,2010–2017,44.0,Drama  Mystery  Romance,7.4,,Four friends band together against an anonymous foe who threatens to reveal their darkest secrets while also investigating the disappearance of their best friend.,,"Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell","170,344",
657,Fantasy Island,2021– ,,Adventure  Drama  Fantasy,6.2,,People who walk in with a desire but end up reborn to themselves through the magical realism of Fantasy Island.,,"Roselyn Sanchez, Kiara Barnes, John Gabriel Rodriquez, Daniel Lugo","4,426",
658,Scent of a Woman,1992,156.0,Drama,8.0,59.0,A prep school student needing money agrees to babysit a blind man but the job is not at all what he anticipated.,Martin Brest,"Al Pacino, Chris ODonnell, James Rebhorn, Gabrielle Anwar","303,505",$63.90M
659,Licorice Pizza,2021,133.0,Comedy  Drama  Romance,7.2,,The story of Alana Kane and Gary Valentine growing up running around and going through the treacherous navigation of first love in the San Fernando Valley 1973.,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits","122,798",
660,Her,2013,126.0,Drama  Romance  Sci-Fi,8.0,,In a near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.,Spike Jonze,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara","625,648",$25.57M
661,The Judge,2014,141.0,Crime  Drama,7.4,48.0,Big-city lawyer Hank Palmer returns to his childhood home where his father the towns judge is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with his estranged family.,David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton","194,607",$47.12M
662,Matilda,1996,98.0,Comedy  Family  Fantasy,7.0,,A girl gifted with a keen intellect and psychic powers uses both to deal with her crude distant family and free her kind teacher from their sadistic headmistress.,Danny DeVito,"Danny DeVito, Rhea Perlman, Mara Wilson, Embeth Davidtz","160,428",$33.08M
663,Silicon Valley,2014–2019,28.0,Comedy,8.5,,Follows the struggle of Richard Hendricks a Silicon Valley engineer trying to build his own company called Pied Piper.,,"Thomas Middleditch, T.J. Miller, Josh Brener, Martin Starr","153,771",
664,"Magnum, P.I.",1980–1988,48.0,Action  Adventure  Crime,7.5,,The adventures of a Hawaii based private investigator.,,"Tom Selleck, John Hillerman, Roger E. Mosley, Larry Manetti","26,732",
665,Charmed,1998–2006,42.0,Drama  Fantasy  Mystery,7.1,,Three sisters discover their destiny to battle against the forces of evil using their witchcraft. They are the Charmed Ones.,,"Holly Marie Combs, Alyssa Milano, Brian Krause, Rose McGowan","85,929",
666,Elite,2018– ,60.0,Crime  Drama  Thriller,7.3,,When three working-class teenagers begin attending an exclusive private school in Spain the clash between them and the wealthy students leads to murder.,,"Omar Ayuso, Itzan Escamilla, Miguel Bernardeau, Arón Piper","82,438",
667,Drop Dead Diva,2009–2014,60.0,Comedy  Drama,7.5,,A vapid aspiring model killed in a car crash gets brought back to life as an intelligent overweight lawyer hoping to find the meaning of inner beauty.,,"Brooke Elliott, Margaret Cho, Kate Levering, April Bowlby","20,182",
668,FBI: Most Wanted,2020– ,45.0,Action  Crime  Drama,6.9,,It follows the division of the FBI tasked with tracking and capturing the notorious criminals on the FBIs Most Wanted list.,,"Roxy Sternberg, Keisha Castle-Hughes, Julian McMahon, YaYa Gosselin","8,911",
669,Divergent,2014,139.0,Action  Adventure  Mystery,6.6,48.0,In a world divided by factions based on virtues Tris learns shes Divergent and wont fit in. When she discovers a plot to destroy Divergents Tris and the mysterious Four must find out what makes Divergents dangerous before its too late.,Neil Burger,"Shailene Woodley, Theo James, Kate Winslet, Jai Courtney","467,080",$150.95M
670,The Originals,2013–2018,45.0,Drama  Fantasy  Horror,8.3,,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,,"Joseph Morgan, Daniel Gillies, Claire Holt, Phoebe Tonkin","138,958",
671,Desperate Measures,2022,42.0,Crime  Drama  Thriller,6.3,,Rowans life spirals when Finn is coerced into a botched drug deal by a local gang. With Finns life on the line and a violent gang leader encroaching on her life Rowan is faced with recuperating the money that Finn lost.,,"Amanda Abbington, Warren Brown, Sunetra Sarker, Francis Magee",213,
672,1917,2019,119.0,Action  Drama  War,8.2,,April 6th 1917. As an infantry battalion assembles to wage war deep in enemy territory two soldiers are assigned to race against time and deliver a message that will stop 1600 men from walking straight into a deadly trap.,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth","606,283",$159.23M
673,Asterix & Obelix: The Middle Kingdom,2023,112.0,Adventure  Comedy  Family,4.8,,The only daughter of the Chinese emperor Han Xuandi escapes from a strict prince and seeks help from the Gauls and the two brave warriors Asterix and Obelix.,Guillaume Canet,"Guillaume Canet, Gilles Lellouche, Vincent Cassel, Jonathan Cohen","2,007",
674,About Time, 2013,123.0,Comedy  Drama  Fantasy,7.8,55.0,At the age of 21 Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.,Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson","359,394",$15.32M
675,Star Wars: The Rise of Skywalker,2019,141.0,Action  Adventure  Fantasy,6.5,53.0,In the riveting conclusion of the landmark Skywalker saga new legends will be born-and the final battle for freedom is yet to come.,J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver","459,498",$515.20M
676,Three Thousand Years of Longing,2022,108.0,Drama  Fantasy  Romance,6.7,60.0,A lonely scholar on a trip to Istanbul discovers a Djinn who offers her three wishes in exchange for his freedom.,George Miller,"Tilda Swinton, Idris Elba, Erdil Yasaroglu, Sarah Houbolt","39,087",
677,The Usual Suspects,1995,106.0,Crime  Drama  Mystery,8.5,,A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which began when five criminals met at a seemingly random police lineup.,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin","1,094,638",$23.34M
678,Futurama,1999–2023,22.0,Animation  Adventure  Comedy,8.5,,Philip J. Fry a pizza delivery boy is accidentally frozen in 1999 and thawed out on New Years Eve 2999.,,"Billy West, John DiMaggio, Katey Sagal, Tress MacNeille","242,457",
679,Girl in the Basement,2021,88.0,Crime  Thriller,6.3,,Sarah is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles Don imprisons her in the basement of their home.,Elisabeth Röhm,"Judd Nelson, Stefanie Scott, Joely Fisher, Emma Myers","8,978",
680,Irreversible,2002,97.0,Crime  Drama  Mystery,7.3,51.0,Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in an underpass tunnel.,Gaspar Noé,"Monica Bellucci, Vincent Cassel, Albert Dupontel, Philippe Nahon","138,791",$0.75M
681,The Punisher,2017–2019,53.0,Action  Crime  Drama,8.5,,After his revenge on those who murdered his family aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as The Punisher.,,"Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore","242,548",
682,10 Things I Hate About You,1999,97.0,Comedy  Drama  Romance,7.3,,A pretty popular teenager cant go out on a date until her ill-tempered older sister does.,Gil Junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik","351,835",$38.18M
683,Drive, 2011,100.0,Action  Drama,7.8,,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbors husband rob a pawn shop while serving as his getaway driver,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks","653,817",$35.06M
684,Our Flag Means Death,2022– ,30.0,Action  Adventure  Biography,7.8,,The year is 1717. Wealthy land-owner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.,,"Rhys Darby, Joel Fry, Samson Kayo, Nathan Foad","29,075",
685,Beast, 2022,93.0,Action  Adventure  Drama,5.6,54.0,A father and his two teenage daughters find themselves hunted by a massive rogue lion intent on proving that the Savanna has but one apex predator.,Baltasar Kormákur,"Liyabuya Gongo, Martin Munro, Daniel Hadebe, Thapelo Sebogodi","29,334",
686,Oldboy,2003,120.0,Action  Drama  Mystery,8.4,,After being kidnapped and imprisoned for fifteen years Oh Dae-Su is released only to find that he must find his captor in five days.,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok","587,692",$0.71M
687,Designated Survivor,2016–2019,60.0,Action  Drama  Mystery,7.5,,A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.,,"Kiefer Sutherland, Adan Canto, Italia Ricci, Kal Penn","93,890",
688,The Good Nurse,2022,121.0,Biography  Crime  Drama,6.8,,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,Tobias Lindholm,"Eddie Redmayne, Jessica Chastain, Denise Pillott, Dartel McRae","63,285",
689,The Closer,2005–2012,46.0,Crime  Drama  Mystery,7.8,,Deputy Police Chief Brenda Johnson runs the Priority Homicide Division of the LAPD with an unorthodox style. Her innate ability to read people and obtain confessions helps her and her team solve the citys toughest most sensitive cases.,,"Kyra Sedgwick, J.K. Simmons, Corey Reynolds, Robert Gossett","26,786",
690,Foundation,2021– ,60.0,Drama  Sci-Fi,7.4,,A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.,,"Lou Llobell, Jared Harris, Lee Pace, Leah Harvey","62,645",
691,Bodies Bodies Bodies,2022,94.0,Comedy  Horror  Thriller,6.3,,When a group of rich 20-somethings plan a hurricane party at a remote family mansion a party game turns deadly in this fresh and funny look at backstabbing fake friends and one party gone very very wrong.,Halina Reijn,"Amandla Stenberg, Maria Bakalova, Rachel Sennott, Chase Sui Wonders","41,594",
692,The Sixth Sense,1999,107.0,Drama  Mystery  Thriller,8.2,,A frightened withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams","1,001,563",$293.51M
693,Gangs of London,2020– ,60.0,Action  Crime  Drama,8.1,,Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum thats created when the head of Londons most powerful crime family is assassinated.,,"Sope Dirisu, Joe Cole, Michelle Fairley, Lucian Msamati","35,527",
694,SAS Rogue Heroes,2022–2024,52.0,Action  Drama  Thriller,8.1,,SAS: Rogue Heroes charts the creation of the famed Special Forces unit. Based on the book by Ben Macintyre.,,"Connor Swindells, Jack OConnell, Alfie Allen, Jacob Ifan","15,552",
695,Free Guy,2021,115.0,Action  Adventure  Comedy,7.1,,A bank teller discovers that hes actually an NPC inside a brutal open world video game.,Shawn Levy,"Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery","379,828",$121.63M
696,The Little Things,2021,128.0,Crime  Drama  Mystery,6.3,54.0,Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead he becomes embroiled in the search for a serial killer who is terrorizing the city.,John Lee Hancock,"Denzel Washington, Rami Malek, Jared Leto, Chris Bauer","108,744",
697,Shazam!,2019,132.0,Action  Adventure  Comedy,7.0,,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,David F. Sandberg,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer","347,385",$140.37M
698,Suicide Squad,2016,123.0,Action  Adventure  Fantasy,5.9,40.0,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Viola Davis","693,271",$325.10M
699,The Wandering Earth II,2023,173.0,Action  Adventure  Drama,7.9,56.0,Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth young people once again have to step forward to start a race against time for life and death.,Frant Gwo,"Andy Lau, Jing Wu, Zina Blahusova, Clara Lee","7,590",
700,Prey, 2022,100.0,Action  Adventure  Drama,7.1,,Naru a skilled warrior of the Comanche Nation fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.,Dan Trachtenberg,"Amber Midthunder, Dakota Beavers, Dane DiLiegro, Stormee Kipp","200,615",
701,It, 2017,135.0,Horror,7.3,,In the summer of 1989 a group of bullied kids band together to destroy a shape-shifting monster which disguises itself as a clown and preys on the children of Derry their small Maine town.,Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis","559,411",$327.48M
702,The Golden Girls,1985–1992,30.0,Comedy  Drama,8.1,,Four previously married women live together in Miami sharing their various experiences together and enjoying themselves despite hard times.,,"Bea Arthur, Betty White, Rue McClanahan, Estelle Getty","43,031",
703,The King's Man,2021,131.0,Action  Adventure  Thriller,6.3,44.0,In the early years of the 20th century the Kingsman agency is formed to stand against a cabal plotting a war to wipe out millions.,Matthew Vaughn,"Ralph Fiennes, Gemma Arterton, Rhys Ifans, Harris Dickinson","152,742",$37.18M
704,Uncut Gems,2019,135.0,Crime  Drama  Thriller,7.4,,With his debts mounting and angry collectors closing in a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.,"Benny Safdie, Josh Safdie","Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo","290,346",
705,MILF Manor,2023– ,42.0,Reality-TV,3.4,,From cities all across the country eight confident and strong-minded women leave home for the chance to find love at a paradise destination.,,"April Jayne, Kelle Mortensen, Charlene DeCicco, Stefany Johnson",648,
706,Selfiee,2023,148.0,Action  Comedy  Drama,6.0,,Bollywood superstar Vijay Kumar needs to obtain a new driving license from RTO officer Om Prakash Agarwal a diehard fan of Vijay. A misunderstanding escalates into a feud which is played out in front of the entire country.,Raj Mehta,"Akshay Kumar, Nushrratt Bharuccha, Emraan Hashmi, Diana Penty","9,540",
707,The Lord of the Rings: The Two Towers,2002,179.0,Action  Adventure  Drama,8.8,,While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum the divided fellowship makes a stand against Saurons new ally Saruman and his hordes of Isengard.,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom","1,683,816",$342.55M
708,Fleabag,2016–2019,27.0,Comedy  Drama,8.7,,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,,"Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Jenny Rainsford","166,190",
709,Deadwood,2004–2006,55.0,Crime  Drama  History,8.6,,A show set in the late 1800s revolving around the characters of Deadwood South Dakota; a town of deep corruption and crime.,,"Timothy Olyphant, Ian McShane, Molly Parker, Brad Dourif","109,789",
710,Entourage,2004–2011,28.0,Comedy  Drama,8.5,,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,,"Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara","171,250",
711,The Dark Knight Rises,2012,164.0,Action  Drama  Thriller,8.4,,Eight years after the Jokers reign of chaos Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman","1,721,806",$448.14M
712,Batman,1989,126.0,Action  Adventure,7.5,,The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier a criminal who becomes the clownishly homicidal Joker.,Tim Burton,"Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl","383,177",$251.19M
713,The Breakfast Club,1985,97.0,Comedy  Drama,7.8,,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,John Hughes,"Emilio Estevez, Judd Nelson, Molly Ringwald, Ally Sheedy","406,926",$45.88M
714,The Greatest Showman,2017,105.0,Biography  Drama  Musical,7.5,48.0,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,Michael Gracey,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya","288,201",$174.34M
715,Mission: Impossible - Dead Reckoning - Part One,2023,,Action  Adventure  Thriller,,,Seventh entry in the long-running Mission: Impossible series.,Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Vanessa Kirby, Hayley Atwell",,
716,Married with Children,1987–1997,22.0,Comedy,8.1,,Al is the quintessential working class dad. Peggy his wife always wants more from him. With their children they go through the highs and lows of ordinary life.,,"Ed ONeill, Christina Applegate, Katey Sagal, Amanda Bearse","106,019",
717,Wind River,2017,107.0,Crime  Drama  Mystery,7.7,,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,Taylor Sheridan,"Elizabeth Olsen, Jeremy Renner, Graham Greene, Kelsey Asbille","258,431",$33.80M
718,The Lost Boys,1987,97.0,Comedy  Horror,7.2,,After moving to a new town two brothers discover that the area is a haven for vampires.,Joel Schumacher,"Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes","148,187",$32.22M
719,Vengeance, 2022,107.0,Comedy  Mystery  Thriller,6.8,,A writer from New York City attempts to solve the murder of a girl he hooked up with and travels down south to investigate the circumstances of her death and discover what happened to her.,B.J. Novak,"B.J. Novak, Boyd Holbrook, Lio Tipton, Ashton Kutcher","24,216",
720,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143.0,Action  Adventure  Fantasy,8.1,,Blacksmith Will Turner teams up with eccentric pirate Captain Jack Sparrow to save his love the governors daughter from Jacks former pirate allies who are now undead.,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","1,140,010",$305.41M
721,Memento,2000,113.0,Mystery  Thriller,8.4,,A man with short-term memory loss attempts to track down his wifes murderer.,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior","1,250,420",$25.54M
722,Twilight, 2008,122.0,Drama  Fantasy  Romance,5.3,56.0,When Bella Swan moves to a small town in the Pacific Northwest she falls in love with Edward Cullen a mysterious classmate who reveals himself to be a 108-year-old vampire.,Catherine Hardwicke,"Kristen Stewart, Robert Pattinson, Billy Burke, Sarah Clarke","468,002",$191.47M
723,Clueless,1995,97.0,Comedy  Romance,6.9,,Shallow rich and socially successful Cher is at the top of her Beverly Hills high schools pecking scale. Seeing herself as a matchmaker Cher first coaxes two teachers into dating each other.,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd","225,367",$56.63M
724,Huesera: The Bone Woman,2022,97.0,Drama  Horror,6.3,,Valeria has long dreamed about becoming a mother. After learning that shes pregnant she expects to feel happy yet somethings off.,Michelle Garza Cervera,"Alfonso Dosal, Natalia Solián, Mayra Batalla, Sonia Couoh","1,031",
725,Animal Kingdom,2016–2022,60.0,Crime  Drama,8.2,,Centers on a Southern California family whose excessive lifestyle is fueled by their criminal activities.,,"Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole","40,156",
726,The Fallout,2021,96.0,Drama,7.0,,High schooler Vada navigates the emotional fallout she experiences in the wake of a school tragedy. Relationships with her family friends and view of the world are forever altered.,Megan Park,"Jenna Ortega, Maddie Ziegler, Niles Fitch, Will Ropp","25,140",
727,"Beverly Hills, 90210",1990–2000,44.0,Drama  Romance,6.5,,A group of friends living in Beverly Hills California make their way through life from their school days into adulthood.,,"Jason Priestley, Shannen Doherty, Luke Perry, Jennie Garth","35,342",
