,MovieTitle,MovieDate,MovieRunTime,MovieGenre,MovieRating,MovieScore,MovieDescription,MovieDirector,MovieStars,MovieVotes,MovieGross
338,Frasier,1993–2004,22,['Comedy'],8.2,,"Dr. Frasier Crane moves back to his hometown of Seattle, where he lives with his father, and works as a radio psychiatrist.",,"['Stars:Kelsey Grammer', 'Jane Leeves', 'David Hyde Pierce', 'Peri Gilpin']","86,876",
339,The Sandman,2022– ,45,"['Drama', ' Fantasy', ' Horror']",7.7,,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",,"['Stars:Tom Sturridge', 'Boyd Holbrook', 'Patton Oswalt', 'Vivienne Acheampong']","152,571",
340,"Murder, She Wrote",1984–1996,50,"['Crime', ' Drama', ' Mystery']",7.1,,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.",,"['Stars:Angela Lansbury', 'William Windom', 'Ron Masak', 'Louis Herthum']","25,854",
341,Perfect Match,2023– ,60,"['Game-Show', ' Reality-TV', ' Romance']",6.1,,Couples who prove their compatibility gain the power to make or break other matches in this strategic and seductive dating competition.,,"['Stars:Nick Lachey', 'Francesca Farago', 'Dom Gabriel', 'Joey Sasso']",726,
342,One Tree Hill,2003–2012,60,"['Drama', ' Romance', ' Sport']",7.8,,"Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.",,"['Stars:Chad Michael Murray', 'James Lafferty', 'Hilarie Burton', 'Bethany Joy Lenz']","82,445",
343,The 100,2014–2020,43,"['Drama', ' Mystery', ' Sci-Fi']",7.6,,"Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanity's lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet.",,"['Stars:Eliza Taylor', 'Bob Morley', 'Marie Avgeropoulos', 'Isaiah Washington']","257,389",
344,Smallville,2001–2011,60,"['Action', ' Adventure', ' Drama']",7.5,,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.",,"['Stars:Tom Welling', 'Michael Rosenbaum', 'Allison Mack', 'Kristin Kreuk']","130,915",
345,Blonde,2022,167,"['Biography', ' Drama', ' Romance']",5.5,50,"The story of American actress Marilyn Monroe, covering her love and professional lives.",Andrew Dominik,"['Ana de Armas', 'Lily Fisher', 'Julianne Nicholson', 'Tygh Runyan']","62,065",
346,Curb Your Enthusiasm,2000– ,28,['Comedy'],8.8,,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,,"['Stars:Larry David', 'Cheryl Hines', 'Jeff Garlin', 'Susie Essman']","132,036",
347,Dark,2017–2020,60,"['Crime', ' Drama', ' Mystery']",8.7,,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",,"['Stars:Louis Hofmann', 'Karoline Eichhorn', 'Lisa Vicari', 'Maja Schöne']","401,307",
348,American Psycho,2000,102,"['Crime', ' Drama', ' Horror']",7.6,,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron,"['Christian Bale', 'Justin Theroux', 'Josh Lucas', 'Bill Sage']","640,340",$15.07M
349,Downton Abbey,2010–2015,58,"['Drama', ' Romance']",8.7,,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,,"['Stars:Hugh Bonneville', 'Phyllis Logan', 'Elizabeth McGovern', 'Brendan Coyle']","210,876",
350,Scrubs,2001–2010,22,"['Comedy', ' Drama']",8.4,,"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life.",,"['Stars:Zach Braff', 'Donald Faison', 'Sarah Chalke', 'John C. McGinley']","259,788",
351,Fight Club,1999,139,['Drama'],8.8,,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']","2,154,670",$37.03M
352,Extraordinary,2023– ,25,"['Action', ' Adventure', ' Comedy']",7.8,,"Jen, a young, self-aware woman who lives in a world where everyone has a superpower except her.",,"['Stars:Máiréad Tyers', 'Sofia Oxenham', 'Bilal Hasna', 'Luke Rollason']","7,423",
353,Night Court,1984–1992,30,['Comedy'],7.7,,An eccentric fun-loving judge presides over an urban night court and all the silliness going on there.,,"['Stars:Harry Anderson', 'John Larroquette', 'Richard Moll', 'Charles Robinson']","16,197",
354,Old,2021,108,"['Drama', ' Horror', ' Mystery']",5.8,55,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",M. Night Shyamalan,"['Gael García Bernal', 'Vicky Krieps', 'Rufus Sewell', 'Alex Wolff']","127,462",
355,Black Mafia Family,2021– ,60,"['Biography', ' Crime', ' Drama']",7.5,,Two brothers who rose from the decaying streets of southwest Detroit in the late 1980's and gave birth to one of the most influential crime families in the country.,,"[""Stars:Da'Vinchi"", ""Demetrius 'Lil Meech' Flenory"", 'Tyshon Freeman', 'Michole Briana White']","4,642",
356,Midsommar,2019,148,"['Drama', ' Horror', ' Mystery']",7.1,,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,Ari Aster,"['Florence Pugh', 'Jack Reynor', 'Vilhelm Blomgren', 'William Jackson Harper']","338,119",$27.33M
357,The Rookie: Feds,2022– ,43,"['Action', ' Crime', ' Drama']",5.0,,"Special Agent Simone Clark, the oldest rookie in the FBI Academy, is assigned to support the LA field office.",,"['Stars:Niecy Nash', 'James Lesure', 'Britt Robertson', 'Kevin Zegers']","3,942",
358,Emily the Criminal,2022,97,"['Crime', ' Drama', ' Thriller']",6.7,,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences.",John Patton Ford,"['Aubrey Plaza', 'Theo Rossi', 'Bernardo Badillo', 'John Billingsley']","37,104",
359,Devotion,II) (2022,139,"['Action', ' Drama', ' War']",6.6,,A pair of U.S. Navy fighter pilots risk their lives during the Korean War and become some of the Navy's most celebrated wingmen.,J.D. Dillard,"['Jonathan Majors', 'Glen Powell', 'Christina Jackson', 'Thomas Sadoski']","17,215",
360,Barbie,2023,,"['Adventure', ' Comedy', ' Fantasy']",,,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you're a Ken.,Greta Gerwig,"['Margot Robbie', 'Helen Mirren', 'Ryan Gosling', 'Emma Mackey']",,
361,80 for Brady,2023,98,"['Comedy', ' Drama', ' Sport']",5.9,53,A group of friends made it their life-long mission to go to the Super Bowl and meet NFL superstar Tom Brady.,Kyle Marvin,"['Lily Tomlin', 'Jane Fonda', 'Rita Moreno', 'Sally Field']","2,578",
362,Unlocked,2023,117,"['Crime', ' Drama', ' Mystery']",6.4,,A woman's life is turned upside-down when a dangerous man gets a hold of her lost cell phone and uses it to track her every move.,Tae-joon Kim,"['Si-wan Yim', 'Woo-hee Chun', 'Tim Dang', 'Ell']","3,719",
363,Justified,2010–2015,44,"['Action', ' Crime', ' Drama']",8.6,,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",,"['Stars:Timothy Olyphant', 'Nick Searcy', 'Joelle Carter', 'Jacob Pitts']","103,181",
364,NCIS: Hawai'i,2021– ,43,"['Action', ' Crime', ' Mystery']",6.5,,Follow a team of Naval criminal investigators who operate on the Hawaiian islands.,,"['Stars:Vanessa Lachey', 'Alex Tarrant', 'Noah Mills', 'Jason Antoon']","6,971",
365,Parasite,2019,132,"['Drama', ' Thriller']",8.5,,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-sik']","828,361",$53.37M
366,GoodFellas,1990,145,"['Biography', ' Crime', ' Drama']",8.7,,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']","1,175,717",$46.84M
